symbol,group,top_tissue,top_tissue_tpm,brain_mean,nonbrain_mean,log2fc_brain_vs_nonbrain,tau
CLEC18A,TOL,Artery_Aorta,4.75252,0.337688920678096,0.4768462668979367,-0.1391573462198406,0.9163016657557072
TEX37,TOL,Testis,184.574,0.0,0.1415287414373891,-0.1415287414373891,0.9999857379534222
KIR2DL1,TOL,Whole_Blood,5.24347,0.0114739254589762,0.1550382028186755,-0.1435642773596992,0.9833169167996276
GGT2,TOL,Thyroid,6.58415,0.0801989062391697,0.2244459345409427,-0.144247028301773,0.9756325531202762
KIR3DL1,TOL,Whole_Blood,5.55788,0.0044098889822527,0.1513628162319295,-0.1469529272496768,0.9853784968906324
TRIM74,TOL,Stomach_Mixed_Cell,4.78586,0.6176150418614917,0.7733025398287718,-0.1556874979672801,0.8375753112511602
H4C8,TOL,Prostate,9.76802,1.6890251372450251,1.845777435646828,-0.1567522984018026,0.7105350533619196
NPIPB11,TOL,Liver_Portal_Tract,6.97811,1.246662931314132,1.406697468286221,-0.160034536972089,0.7518381415213207
NUTM2G,TOL,Testis,2.54375,0.0993476126170072,0.2614780755583645,-0.1621304629413573,0.9379752568851076
CYP2A7,TOL,Liver,28.8006,0.1323703816784817,0.2952596443321829,-0.1628892626537011,0.9929834173230844
FAM187B,TOL,Testis,153.794,0.0856793492457153,0.2517569912733833,-0.166077642027668,0.9994419412845136
OR2A1,TOL,Thyroid,0.971738,0.0211118631306328,0.1872457526260902,-0.1661338894954574,0.8879787724859073
GOLGA8Q,TOL,Thyroid,1.91691,0.0836324085861762,0.2506976376959197,-0.1670652291097435,0.9186714128
CTAGE15,TOL,Testis,1.5509,0.0,0.1696076379565352,-0.1696076379565352,0.9406678019407122
CCDC144A,TOL,Testis,4.44918,0.4845808933034365,0.6554173606298374,-0.1708364673264008,0.8691617885247744
RGPD4,TOL,Testis,4.91427,0.3631426489558145,0.5345162536136192,-0.1713736046578047,0.9197860941615386
AGAP4,TOL,Brain_Cerebellum,16.2774,2.417604321116176,2.5932611046326337,-0.1756567835164579,0.670772423407677
SMN2,TOL,Stomach_Muscularis,5.25233,1.7027474830941538,1.8823833249997115,-0.1796358419055574,0.4802662903465927
ARL17B,TOL,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,1.32817,0.4076700992584953,0.592058111551101,-0.1843880122926057,0.6357927791791623
GOLGA8K,TOL,Testis,2.43258,0.0945534311100753,0.2793226311544355,-0.1847692000443602,0.9284953859565356
ANTXRL,TOL,Testis,36.4958,0.0704144431656163,0.2570262123985014,-0.186611769232885,0.9968148739339706
PLGLB2,TOL,Liver_Hepatocyte,18.3456,0.4356994669815446,0.6334953551594138,-0.1977958881778691,0.956802336271286
LRRC37A2,TOL,Testis,12.4971,1.905546474179666,2.10344657032474,-0.1979000961450738,0.7264648598474847
